schema_version,user_id,match_type,activity,available_times,min_session_minutes,acceptable_locations,allow_off_campus,group_size_preference,self_level,acceptable_partner_levels,hard_restrictions,goal,intensity,communication_style,planning_style,supervision_preference,punctuality_importance,cancellation_tolerance,organization_role,interests,self_description,partner_expectation,preference_weights
1.0.0,U0088,study,higher_mathematics,"[""thu_19_00"",""thu_19_30"",""thu_20_00"",""thu_20_30""]",60,"[""online""]",false,either,basic,"[""novice"",""basic"",""intermediate""]",[],homework_project,2,quiet,spontaneous,1,5,1,participant,"[""mathematics"",""research"",""programming""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08,""goal"":0.24,""interest"":0.08,""level"":0.12,""planning"":0.12,""text"":0.06,""time"":0.3}"
1.0.0,U0089,sport,fitness,"[""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00"",""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",60,"[""gymnasium"",""sports_field""]",false,either,basic,"[""novice"",""basic"",""intermediate""]",[],skill_improvement,2,quiet,planned,2,4,2,organizer,"[""fitness"",""outdoors"",""ball_sports""]",我会按约定时间参加，希望一起逐步提升运动状态。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.12765957,""goal"":0.17021277,""interest"":0.12765957,""level"":0.19148936,""planning"":0.12765957,""text"":0.0425532,""time"":0.21276596}"
1.0.0,U0090,sport,fitness,"[""thu_18_30"",""thu_19_00"",""thu_19_30"",""thu_20_00"",""sun_09_00"",""sun_09_30"",""sun_10_00"",""sun_10_30""]",60,"[""gymnasium""]",false,either,basic,"[""novice"",""basic"",""intermediate""]","[""no_high_intensity""]",recreation,2,interactive,spontaneous,4,4,2,participant,"[""fitness"",""outdoors"",""running""]",我想通过结伴提高运动积极性，同时享受活动过程。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.08163265,""goal"":0.16326531,""interest"":0.08163265,""level"":0.12244898,""planning"":0.18367347,""text"":0.06122449,""time"":0.30612245}"
1.0.0,U0091,study,linear_algebra,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00""]",60,"[""pku_library"",""teaching_building""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_off_campus"",""no_group_activity"",""no_last_minute_cancel""]",homework_project,4,balanced,planned,3,4,2,organizer,"[""mathematics"",""ai"",""reading"",""programming""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,希望对方时间稳定、目标相近，可以互相提醒但不过度施压。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.1875,""planning"":0.1875,""text"":0.04166667,""time"":0.20833333}"
1.0.0,U0092,study,linear_algebra,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30""]",90,"[""pku_library""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_off_campus""]",habit_building,4,balanced,flexible,5,4,1,balanced,"[""mathematics"",""ai"",""research""]",我习惯按计划完成本周学习任务，希望保持稳定节奏。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.12765957,""goal"":0.17021277,""interest"":0.12765957,""level"":0.19148936,""planning"":0.12765957,""text"":0.0425532,""time"":0.21276596}"
1.0.0,U0093,sport,cycling,"[""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00"",""sun_09_00"",""sun_09_30"",""sun_10_00"",""sun_10_30""]",60,"[""sports_field""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_off_campus""]",recreation,4,balanced,flexible,2,3,3,organizer,"[""outdoors"",""fitness"",""ball_sports""]",我希望保持规律运动，重视安全和彼此节奏合适。,期待找到可以稳定参加、不会临时爽约的运动搭子。,"{""communication"":0.08510638,""goal"":0.25531915,""interest"":0.12765957,""level"":0.12765957,""planning"":0.12765957,""text"":0.0638298,""time"":0.21276596}"
1.0.0,U0094,sport,cycling,"[""fri_18_30"",""fri_19_00"",""fri_19_30"",""fri_20_00""]",90,"[""sports_field""]",false,one_to_one,intermediate,"[""basic"",""intermediate"",""advanced""]","[""no_off_campus"",""no_last_minute_cancel""]",competition,3,quiet,planned,3,4,1,participant,"[""outdoors"",""fitness"",""running""]",我想通过结伴提高运动积极性，同时享受活动过程。,希望一起安全运动，以持续行动为主而不是盲目竞争。,"{""communication"":0.12,""goal"":0.16,""interest"":0.08,""level"":0.18,""planning"":0.12,""text"":0.04,""time"":0.3}"
1.0.0,U0095,interest,exhibition,"[""sat_18_00"",""sat_18_30"",""sat_19_00"",""sat_19_30"",""sat_20_00"",""sun_14_00"",""sun_14_30"",""sun_15_00"",""sun_15_30"",""sun_16_00"",""sun_16_30""]",90,"[""off_campus_haidian"",""campus_common_area""]",true,one_to_one,basic,"[""novice"",""basic"",""intermediate""]",[],exploration,5,quiet,spontaneous,2,3,3,balanced,"[""art"",""city_exploration"",""food"",""movies""]",我喜欢探索校园及周边活动，希望安排轻松但不随意。,希望对方兴趣相近、沟通自然，并愿意一起确定活动安排。,"{""communication"":0.125,""goal"":0.16666667,""interest"":0.08333333,""level"":0.1875,""planning"":0.1875,""text"":0.04166667,""time"":0.20833333}"
1.0.0,U0096,interest,exhibition,"[""fri_19_00"",""fri_19_30"",""fri_20_00"",""fri_20_30"",""fri_21_00"",""sat_18_00"",""sat_18_30"",""sat_19_00"",""sat_19_30"",""sat_20_00""]",60,"[""off_campus_haidian""]",true,one_to_one,basic,"[""novice"",""basic"",""intermediate""]","[""no_group_activity""]",experience,5,quiet,flexible,4,5,3,balanced,"[""art"",""city_exploration"",""movies"",""food""]",我重视活动体验，也希望提前沟通时间、地点和大致安排。,希望彼此尊重选择，把共同兴趣真正转化为一次行动。,"{""communication"":0.07843137,""goal"":0.23529412,""interest"":0.11764706,""level"":0.11764706,""planning"":0.11764706,""text"":0.03921568,""time"":0.29411765}"
1.0.0,U0097,study,english_cet,"[""mon_19_00"",""mon_19_30"",""mon_20_00"",""mon_20_30"",""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",90,"[""teaching_building"",""online""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_high_intensity""]",habit_building,5,quiet,flexible,4,2,4,organizer,"[""languages"",""reading"",""mathematics""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,希望对方时间稳定、目标相近，可以互相提醒但不过度施压。,"{""communication"":0.12244898,""goal"":0.24489796,""interest"":0.08163265,""level"":0.12244898,""planning"":0.18367347,""text"":0.04081633,""time"":0.20408163}"
1.0.0,U0098,study,english_cet,"[""sat_14_00"",""sat_14_30"",""sat_15_00"",""sat_15_30"",""sat_16_00""]",60,"[""teaching_building""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]",[],exam_prep,4,interactive,planned,4,4,2,participant,"[""languages"",""reading"",""programming""]",我想通过固定结伴提高执行力，也愿意适度交流问题。,期待对方认真守时，一起完成本周的具体学习目标。,"{""communication"":0.08333333,""goal"":0.16666667,""interest"":0.125,""level"":0.125,""planning"":0.125,""text"":0.0625,""time"":0.3125}"
1.0.0,U0099,sport,basketball,"[""mon_18_30"",""mon_19_00"",""mon_19_30"",""mon_20_00"",""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",60,"[""gymnasium"",""sports_field""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]","[""no_high_intensity""]",competition,4,interactive,spontaneous,5,3,3,organizer,"[""ball_sports"",""fitness"",""running""]",我希望保持规律运动，重视安全和彼此节奏合适。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.08,""goal"":0.16,""interest"":0.12,""level"":0.18,""planning"":0.12,""text"":0.04,""time"":0.3}"
1.0.0,U0100,sport,basketball,"[""sat_09_00"",""sat_09_30"",""sat_10_00"",""sat_10_30""]",60,"[""gymnasium""]",false,one_to_one,advanced,"[""intermediate"",""advanced""]",[],fitness,4,quiet,planned,3,4,2,balanced,"[""ball_sports"",""fitness"",""running""]",我希望保持规律运动，重视安全和彼此节奏合适。,希望对方水平和强度接近，守时并尊重彼此运动节奏。,"{""communication"":0.08333333,""goal"":0.25,""interest"":0.08333333,""level"":0.1875,""planning"":0.125,""text"":0.06250001,""time"":0.20833333}"
